name,latitude,longitude,free_bikes
"001152 - Marylebone Lane, Marylebone",51.51475963,-0.148105415,2
"200198 - Seymour Place, Marylebone",51.520331,-0.163667,12
"001194 - Westminster University, Marylebone",51.52248185,-0.154907218,8
"010630 - George Place Mews, Marylebone",51.51689296,-0.158249929,0
"002693 - Shouldham Street, Marylebone",51.51809,-0.163609,15
"200008 - Portman Square, Marylebone",51.516204,-0.155525,0
"200005 - New Cavendish Street, Marylebone",51.519167,-0.147983,1
"001058 - Edgware Road Station, Marylebone",51.519968,-0.169774,6
"003482 - Beaumont Street, Marylebone",51.52200801,-0.151359288,5
"001085 - Old Quebec Street, Marylebone",51.51457763,-0.158264483,0
"001162 - Dorset Square, Marylebone",51.5225965,-0.161113413,3
"001175 - Mallory Street, Marylebone",51.52505151,-0.166304359,7
"001166 - Bell Street , Marylebone",51.52202903,-0.165842551,16
"001003 - Chapel Place, Marylebone",51.51530805,-0.147203711,0
"003424 - Broadcasting House, Marylebone",51.51811784,-0.144228881,0
"010625 - Penfold Street, Marylebone",51.52289229,-0.171681991,9
"001035 - Boston Place, Marylebone",51.522511,-0.162298,21
"001225 - George Street, Marylebone",51.517703,-0.154106,0
"300072 - Broadley Terrace, Marylebone",51.52456169,-0.165668686,8
"001112 - Nutford Place, Marylebone",51.5165179,-0.164393768,6
"001086 - Baker Street, Marylebone",51.51891348,-0.156166631,2
"001164 - Portland Place, Marylebone",51.52071513,-0.14521173,0
"001033 - Paddington Street, Marylebone",51.52058381,-0.154701411,0
"003476 - Hinde Street, Marylebone",51.51681444,-0.151926305,0
"001036 - Crawford Street, Marylebone",51.52026,-0.157183945,0
"002680 - Harrowby Street, Marylebone",51.5173721,-0.1642075,2
